index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/politik/ausland/2024-02/israel-hamas-drohnen-netanjahu-unrwa,https://www.zeit.de/politik/ausland/2024-02/israel-hamas-drohnen-netanjahu-unrwa,0,www.zeit.de,"Krieg in Nahost: Südafrika wirft Israel Missachtung von Urteil vor, Angriff in Schweden",Das Verhalten Israels nach dem Spruch des Internationalen Gerichtshofs löst in Südafrika Unmut aus. Angriff auf israelische Botschaft in Stockholm verhindert. Die Nacht,https://img.zeit.de/politik/ausland/2024-02/massengrab-palaestinenser-gazastreifen/wide__1300x731,2024-02-01T05:47:46Z,,"Südafrika hat Israel vorgehalten, die Entscheidung des Internationalen Gerichtshofs aus der vergangenen Woche zu ignorieren. Das israelische Militär habe innerhalb weniger Tage Hunderte Zivilisten im… [+3458 chars]",,de,'Angriff'
https://www.tagesschau.de/inland/innenpolitik/klima-haushalt-100.html,https://www.tagesschau.de/inland/innenpolitik/klima-haushalt-100.html,0,www.tagesschau.de,Haushalt 2024: Mehr Schulden für den Klimaschutz?,Der Haushalt 2024 steht kurz vor der Verabschiedung. Der befürchtete klimapolitische Kahlschlag bleibt aus. Doch die Grundsatzfrage bleibt: Wie soll der anstehende Klima-Umbau finanziert werden? Von Judith Kösters und Heike Ließmann.,https://images.tagesschau.de/image/e6276303-911f-4d5f-ad84-77dbe6025b20/AAABi4niz5A/AAABibBxqrQ/16x9-1280/windrad-138.jpg,2024-02-01T06:59:21Z,,"Stand: 01.02.2024 07:59 Uhr
Der Haushalt 2024 steht kurz vor der Verabschiedung. Der befürchtete klimapolitische Kahlschlag bleibt aus. Doch die Grundsatzfrage bleibt: Wie soll der anstehende Klima-… [+6863 chars]",,de,'Heizen'
https://www.welt.de/politik/deutschland/video249851320/Robert-Habecks-Etat-Wir-leisten-uns-eine-Klima-und-Energiepolitik-die-ziemlich-irrsinnig-ist.html,https://www.welt.de/politik/deutschland/video249851320/Robert-Habecks-Etat-Wir-leisten-uns-eine-Klima-und-Energiepolitik-die-ziemlich-irrsinnig-ist.html,0,www.welt.de,"„Wir leisten uns eine Klima- und Energiepolitik, die ziemlich irrsinnig ist“","Bundeswirtschaftsminister Habeck hat in seiner Etatrede ein milliardenschweres Sondervermögen zur Entlastung von Firmen ins Spiel gebracht. Der Grünen-Politiker bot der Union Gespräche zu seinem Vorschlag an. Dorothea Siems, Chefökonomin bei WELT, ordnet die …",https://img.welt.de/img/politik/deutschland/mobile249851330/3741351967-ci16x9-w1200/siems-jpg.jpg,2024-02-01T10:34:42Z,,"Die WELT als ePaper: Die vollständige Ausgabe steht Ihnen bereits am Vorabend zur Verfügung so sind Sie immer hochaktuell informiert. Weitere Informationen: http://epaper.welt.de 
 Der Kurz-Link die… [+49 chars]",,de,'Klima'
https://www.mobiflip.de/shortnews/holvi-fuehrt-datev-schnittstelle-ein/,https://www.mobiflip.de/shortnews/holvi-fuehrt-datev-schnittstelle-ein/,0,www.mobiflip.de,Holvi führt DATEV-Schnittstelle ein,"Holvi, das digitale Geschäftskonto für Selbstständige und kleine Unternehmen, führt eine direkte Schnittstelle zu DATEV ein, um das Finanz- und Rechnungswesen für Unternehmen zu vereinfachen. Das neue Add-on ermöglicht die […]",https://www.mobiflip.de/wp-content/uploads/2022/11/holvi_payment_card.jpg,2024-02-01T11:10:11Z,,"Holvi, das digitale Geschäftskonto für Selbstständige und kleine Unternehmen, führt eine direkte Schnittstelle zu DATEV ein, um das Finanz- und Rechnungswesen für Unternehmen zu vereinfachen.
Das ne… [+1154 chars]",,de,'Finanz'
https://www.zeit.de/news/2024-02/01/neuer-erdbeobachtungssatellit-vom-bodensee-bereit-fuers-all,https://www.zeit.de/news/2024-02/01/neuer-erdbeobachtungssatellit-vom-bodensee-bereit-fuers-all,0,www.zeit.de,Klimaforschung: Neuer Erdbeobachtungssatellit vom Bodensee bereit fürs All,Hier finden Sie Informationen zu dem Thema „Klimaforschung“. Lesen Sie jetzt „Neuer Erdbeobachtungssatellit vom Bodensee bereit fürs All“.,https://img.zeit.de/news/2024-02/01/neuer-erdbeobachtungssatellit-vom-bodensee-bereit-fuers-all-image-group/wide__1300x731,2024-02-01T12:19:01Z,,Es soll die größte und komplexeste Erdforschungsmission der europäischen Raumfahrtagentur Esa werden: EarthCARE. Der Satellit dafür ist bei Airbus in Immenstaad am Bodensee gebaut worden.  Im Mai sol… [+2166 chars],,de,'Klima'
https://taz.de/Arzt-ueber-Drogenkrise-in-Syrien/!5981877/,https://taz.de/Arzt-ueber-Drogenkrise-in-Syrien/!5981877/,0,taz.de,Arzt über Drogenkrise in Syrien: „Die erste Dosis ist kostenlos“,"Meth und Captagon bieten vielen Menschen in Syrien eine Flucht aus dem Alltag. Die Folgen sind gravierend, warnt der Arzt Feras Fares.",https://taz.de/picture/6735777/948/34547776-1.jpeg,2024-02-01T13:21:00Z,https://web.archive.org/web/20240201154852/https://taz.de/Arzt-ueber-Drogenkrise-in-Syrien/!5981877/,"Meth und Captagon bieten vielen Menschen in Syrien eine Flucht aus dem Alltag. Die Folgen sind gravierend, warnt der Arzt Feras Fares.
Zerstörung von 100.000 Pillen in Nordwest-Syrien, August 2021 F… [+6586 chars]",,de,'Flucht'
https://www.tagesschau.de/wirtschaft/inflation-euroraum-102.html,https://www.tagesschau.de/wirtschaft/inflation-euroraum-102.html,0,www.tagesschau.de,"Inflation geht zurück, ist aber noch nicht besiegt","Preisauftrieb im Euroraum lässt nach. Inflation sinkt auf 2,8 Prozent. EZB-Zielmarke rückt in greifbare Nähe. Experten warnen aber vor verfrühter Entwarnung.",https://images.tagesschau.de/image/25084b11-2155-4d96-afed-6b9ec84b06c8/AAABjV8ncOk/AAABibBxqrQ/16x9-1280/inflation-euro-106.jpg,2024-02-01T13:24:49Z,,"Stand: 01.02.2024 14:24 Uhr
Preisauftrieb im Euroraum lässt nach. Inflation sinkt auf 2,8 Prozent. EZB-Zielmarke rückt in greifbare Nähe. Experten warnen aber vor verfrühter Entwarnung.
Die Inflati… [+2207 chars]",,de,'Preis'
https://www.focus.de/experts/mit-witz-gegen-vorurteile-humor-expertin-zeigt-humorvolle-strategien-gegen-rassismus_id_259626400.html,https://www.focus.de/experts/mit-witz-gegen-vorurteile-humor-expertin-zeigt-humorvolle-strategien-gegen-rassismus_id_259626400.html,0,www.focus.de,Mit Witz gegen Vorurteile - Humor-Expertin zeigt humorvolle Strategien gegen Rassismus,"Entdecken Sie, wie man Rassismus auch mit Humor begegnen kann. Humor-Expertin und Rednerin Eva Ullmann teilt ihre Erkenntnisse und Strategien im humorvollen Umgang mit dem brisanten Thema - und zeigt Beispiele, wie es geht.Von FOCUS-online-Gastautorin Eva Ull…",https://p6.focus.de/img/fotos/id_259628869/ullmann-lachen.png?im=Crop%3D%280%2C170%2C2048%2C1024%29%3BResize%3D%281200%2C627%29&impolicy=perceptual&quality=mediumHigh&hash=5494dfdaa3f30a6de4723246e71f1e9a9ab92a84ccb7465553e7989b430f4f69,2024-02-01T13:33:07Z,,"Entdecken Sie, wie man Rassismus mit Humor begegnen kann. Humor-Expertin und Rednerin Eva Ullmann teilt ihre Erkenntnisse und Strategien im humorvollen Umgang mit dem brisanten Thema.Okay. Wir haben … [+9074 chars]",,de,'Gas'
https://www.n-tv.de/panorama/Umweltamt-raeumt-mit-E-Auto-Verbrenner-Maerchen-auf-article24705741.html,https://www.n-tv.de/panorama/Umweltamt-raeumt-mit-E-Auto-Verbrenner-Maerchen-auf-article24705741.html,0,www.n-tv.de,Analyse zur Umweltfreundlichkeit: Umweltamt räumt mit E-Auto-Verbrenner-Märchen auf,Das Gerücht hält sich teils hartnäckig: E-Autos seien nicht umweltfreundlicher als Verbrenner. Sie würden oft mit Strom aus Kohle aufgeladen oder gefährliche Stoffe benötigen. Laut Umweltbundesamt sind Elektroautos jedoch in der Regel besser fürs Klima - und …,https://bilder3.n-tv.de/img/incoming/crop24705814/2841327912-cImg_16_9-w1200/imago0390887449h.jpg,2024-02-01T14:22:26Z,,Das Gerücht hält sich teils hartnäckig: E-Autos seien nicht umweltfreundlicher als Verbrenner. Sie würden oft mit Strom aus Kohle aufgeladen oder gefährliche Stoffe benötigen. Laut Umweltbundesamt si… [+3417 chars],,de,'Klima'
https://www.sueddeutsche.de/wirtschaft/generation-z-nachhaltigkeit-studie-luxus-1.6340913,https://www.sueddeutsche.de/wirtschaft/generation-z-nachhaltigkeit-studie-luxus-1.6340913,0,www.sueddeutsche.de,Generation Z: Ist die junge Generation eine Mogelpackung?,"Sie streiken und kleben fürs Klima, träumen aber von Designerklamotten und Luxusurlauben. Die Gen Z steckt irgendwo zwischen Greta Thunberg und ""Great Gatsby"" - wie kann das sein?",https://www.sueddeutsche.de/image/sz.1.6340914/1200x675?v=1706793775,2024-02-01T14:27:29Z,https://web.archive.org/web/20240201143047/https://www.sueddeutsche.de/wirtschaft/generation-z-nachhaltigkeit-studie-luxus-1.6340913,"Sie streiken und kleben fürs Klima, träumen aber von Designerklamotten und Luxusurlauben. Die Gen Z steckt irgendwo zwischen Greta Thunberg und ""Great Gatsby"" - wie kann das sein?Wäre die Generation … [+341 chars]",,de,'Klima'
